fips_code,state,state_name,county,cases_7_day_count_change,deaths_7_day_count_change,new_test_results_reported_7_day_rolling_average,percent_positive_7_day,admissions_covid_confirmed_last_7_days_per_100k_population,percent_adult_inpatient_beds_used_confirmed_covid,percent_adult_icu_beds_used_confirmed_covid,date,report_date_window_start,report_date_window_end,hsa_num
17031,IL,Illinois,Cook County,0,0,6361.29,25.56,0.0,0.0,0.0,2020-04-30,2020-04-24,2020-04-30,287
17031,IL,Illinois,Cook County,0,0,6402.86,24.9,0.0,0.0,0.0,2020-05-01,2020-04-25,2020-05-01,287
17031,IL,Illinois,Cook County,0,0,6469.86,24.74,0.0,0.0,0.0,2020-05-02,2020-04-26,2020-05-02,287
17031,IL,Illinois,Cook County,0,0,6657.14,24.48,0.0,0.0,0.0,2020-05-03,2020-04-27,2020-05-03,287
17031,IL,Illinois,Cook County,0,0,6952.0,24.35,0.0,0.0,0.0,2020-05-04,2020-04-28,2020-05-04,287
17031,IL,Illinois,Cook County,0,0,7103.71,23.93,0.0,0.0,0.0,2020-05-05,2020-04-29,2020-05-05,287
17031,IL,Illinois,Cook County,0,0,7615.14,8.91,0.0,0.0,0.0,2020-06-06,2020-05-31,2020-06-06,287
17031,IL,Illinois,Cook County,0,0,7623.71,8.71,0.0,0.0,0.0,2020-06-07,2020-06-01,2020-06-07,287
17031,IL,Illinois,Cook County,0,0,7639.29,22.81,0.0,0.0,0.0,2020-05-07,2020-05-01,2020-05-07,287
17031,IL,Illinois,Cook County,0,0,7752.29,9.31,0.0,0.0,0.0,2020-06-05,2020-05-30,2020-06-05,287
17031,IL,Illinois,Cook County,0,0,7899.71,8.23,0.0,0.0,0.0,2020-06-08,2020-06-02,2020-06-08,287
17031,IL,Illinois,Cook County,0,0,8036.43,14.23,0.0,0.0,0.0,2020-05-26,2020-05-20,2020-05-26,287
17031,IL,Illinois,Cook County,0,0,8040.0,20.89,0.0,0.0,0.0,2020-05-10,2020-05-04,2020-05-10,287
17031,IL,Illinois,Cook County,0,0,8054.57,22.06,0.0,0.0,0.0,2020-05-08,2020-05-02,2020-05-08,287
17031,IL,Illinois,Cook County,0,0,8055.0,20.27,0.0,0.0,0.0,2020-05-11,2020-05-05,2020-05-11,287
17031,IL,Illinois,Cook County,0,0,8110.29,9.68,0.0,0.0,0.0,2020-06-04,2020-05-29,2020-06-04,287
17031,IL,Illinois,Cook County,0,0,8117.14,13.0,0.0,0.0,0.0,2020-05-28,2020-05-22,2020-05-28,287
17031,IL,Illinois,Cook County,0,0,8161.57,21.41,0.0,0.0,0.0,2020-05-09,2020-05-03,2020-05-09,287
17031,IL,Illinois,Cook County,0,0,8174.43,14.43,0.0,0.0,0.0,2020-05-25,2020-05-19,2020-05-25,287
17031,IL,Illinois,Cook County,0,0,8223.86,18.21,0.0,0.0,0.0,2020-05-15,2020-05-09,2020-05-15,287
17031,IL,Illinois,Cook County,0,0,8261.14,19.79,0.0,0.0,0.0,2020-05-12,2020-05-06,2020-05-12,287
17031,IL,Illinois,Cook County,0,0,8293.0,18.7,0.0,0.0,0.0,2020-05-14,2020-05-08,2020-05-14,287
17031,IL,Illinois,Cook County,0,0,8334.86,17.8,0.0,0.0,0.0,2020-05-16,2020-05-10,2020-05-16,287
17031,IL,Illinois,Cook County,0,0,8343.71,7.71,0.0,0.0,0.0,2020-06-09,2020-06-03,2020-06-09,287
17031,IL,Illinois,Cook County,0,0,8469.71,17.43,0.0,0.0,0.0,2020-05-17,2020-05-11,2020-05-17,287
17031,IL,Illinois,Cook County,0,0,8521.43,11.39,0.0,0.0,0.0,2020-05-31,2020-05-25,2020-05-31,287
17031,IL,Illinois,Cook County,0,0,8548.86,16.77,0.0,0.0,0.0,2020-05-18,2020-05-12,2020-05-18,287
17031,IL,Illinois,Cook County,0,0,8570.57,12.18,0.0,0.0,0.0,2020-05-29,2020-05-23,2020-05-29,287
17031,IL,Illinois,Cook County,0,0,8583.71,11.76,0.0,0.0,0.0,2020-05-30,2020-05-24,2020-05-30,287
17031,IL,Illinois,Cook County,0,0,8665.57,16.3,0.0,0.0,0.0,2020-05-19,2020-05-13,2020-05-19,287
17031,IL,Illinois,Cook County,0,0,8673.86,10.36,0.0,0.0,0.0,2020-06-02,2020-05-27,2020-06-02,287
17031,IL,Illinois,Cook County,0,0,8766.86,6.98,0.0,0.0,0.0,2020-06-11,2020-06-05,2020-06-11,287
17031,IL,Illinois,Cook County,0,0,8800.71,15.07,0.0,0.0,0.0,2020-05-22,2020-05-16,2020-05-22,287
17031,IL,Illinois,Cook County,0,0,8803.71,14.69,0.0,0.0,0.0,2020-05-24,2020-05-18,2020-05-24,287
17031,IL,Illinois,Cook County,0,0,8812.14,14.88,0.0,0.0,0.0,2020-05-23,2020-05-17,2020-05-23,287
17031,IL,Illinois,Cook County,0,0,8868.86,15.4,0.0,0.0,0.0,2020-05-21,2020-05-15,2020-05-21,287
17031,IL,Illinois,Cook County,0,0,8909.14,11.1,0.0,0.0,0.0,2020-06-01,2020-05-26,2020-06-01,287
17031,IL,Illinois,Cook County,0,0,9016.0,6.45,0.0,0.0,0.0,2020-06-12,2020-06-06,2020-06-12,287
17031,IL,Illinois,Cook County,0,0,9395.43,6.15,0.0,0.0,0.0,2020-06-13,2020-06-07,2020-06-13,287
17031,IL,Illinois,Cook County,0,0,9597.14,6.05,0.0,0.0,0.0,2020-06-14,2020-06-08,2020-06-14,287
17031,IL,Illinois,Cook County,0,0,9657.71,5.79,0.0,0.0,0.0,2020-06-16,2020-06-10,2020-06-16,287
17031,IL,Illinois,Cook County,0,0,9691.43,5.87,0.0,0.0,0.0,2020-06-15,2020-06-09,2020-06-15,287
17031,IL,Illinois,Cook County,0,0,9926.86,5.34,0.0,0.0,0.0,2020-06-18,2020-06-12,2020-06-18,287
17031,IL,Illinois,Cook County,0,0,9927.43,11.16,11.3,3.7,4.0,2022-07-04,2022-06-28,2022-07-04,287
17031,IL,Illinois,Cook County,0,0,9950.14,5.41,0.0,0.0,0.0,2020-06-19,2020-06-13,2020-06-19,287
17031,IL,Illinois,Cook County,0,0,10038.43,5.46,0.0,0.0,0.0,2020-06-20,2020-06-14,2020-06-20,287
17031,IL,Illinois,Cook County,0,0,10301.57,0.85,1.9,1.0,2.0,2021-07-06,2021-06-30,2021-07-06,287
17031,IL,Illinois,Cook County,0,0,10461.57,5.3,0.0,0.0,0.0,2020-06-21,2020-06-15,2020-06-21,287
17031,IL,Illinois,Cook County,0,0,10546.43,0.8,2.1,1.0,2.2,2021-07-05,2021-06-29,2021-07-05,287
17031,IL,Illinois,Cook County,0,0,10717.57,11.25,11.3,3.7,3.9,2022-07-03,2022-06-27,2022-07-03,287
17031,IL,Illinois,Cook County,0,0,10720.57,10.4,10.0,3.5,3.2,2022-06-16,2022-06-10,2022-06-16,287
17031,IL,Illinois,Cook County,0,0,10815.0,11.18,10.8,3.6,3.8,2022-07-01,2022-06-25,2022-07-01,287
17031,IL,Illinois,Cook County,0,0,10857.14,11.98,11.4,3.8,4.0,2022-07-05,2022-06-29,2022-07-05,287
17031,IL,Illinois,Cook County,0,0,10920.57,11.14,11.0,3.6,3.9,2022-07-02,2022-06-26,2022-07-02,287
17031,IL,Illinois,Cook County,0,0,10935.14,0.96,2.0,0.9,1.8,2021-07-08,2021-07-02,2021-07-08,287
17031,IL,Illinois,Cook County,0,0,11011.0,11.13,10.6,3.5,3.8,2022-06-30,2022-06-24,2022-06-30,287
17031,IL,Illinois,Cook County,0,0,11190.86,1.01,2.1,0.9,1.6,2021-07-09,2021-07-03,2021-07-09,287
17031,IL,Illinois,Cook County,0,0,11268.71,1.04,2.3,0.9,1.5,2021-07-10,2021-07-04,2021-07-10,287
17031,IL,Illinois,Cook County,0,0,11497.0,1.13,2.5,1.0,1.5,2021-07-11,2021-07-05,2021-07-11,287
17031,IL,Illinois,Cook County,0,0,11500.57,1.62,2.6,1.0,1.5,2021-07-16,2021-07-10,2021-07-16,287
17031,IL,Illinois,Cook County,0,0,11562.57,1.45,2.6,1.0,1.5,2021-07-15,2021-07-09,2021-07-15,287
17031,IL,Illinois,Cook County,0,0,11609.57,10.39,10.3,3.5,3.4,2022-06-23,2022-06-17,2022-06-23,287
17031,IL,Illinois,Cook County,0,0,11664.43,10.53,10.2,3.5,3.4,2022-06-24,2022-06-18,2022-06-24,287
17031,IL,Illinois,Cook County,0,0,11684.29,10.5,10.6,3.5,3.4,2022-06-25,2022-06-19,2022-06-25,287
17031,IL,Illinois,Cook County,0,0,11685.71,10.72,10.6,3.5,3.5,2022-06-26,2022-06-20,2022-06-26,287
17031,IL,Illinois,Cook County,0,0,11694.43,1.89,2.9,1.1,1.8,2021-07-19,2021-07-13,2021-07-19,287
17031,IL,Illinois,Cook County,0,0,11701.86,1.68,2.6,1.0,1.6,2021-07-17,2021-07-11,2021-07-17,287
17031,IL,Illinois,Cook County,0,0,11702.86,1.75,2.8,1.1,1.7,2021-07-18,2021-07-12,2021-07-18,287
17031,IL,Illinois,Cook County,0,0,11745.43,8.4,9.9,3.5,3.1,2022-06-14,2022-06-08,2022-06-14,287
17031,IL,Illinois,Cook County,0,0,11803.29,5.15,0.0,0.0,0.0,2020-06-22,2020-06-16,2020-06-22,287
17031,IL,Illinois,Cook County,0,0,11934.43,10.65,10.9,3.5,3.5,2022-06-27,2022-06-21,2022-06-27,287
17031,IL,Illinois,Cook County,0,0,11985.29,10.58,10.7,3.5,3.6,2022-06-28,2022-06-22,2022-06-28,287
17031,IL,Illinois,Cook County,0,0,11994.86,2.01,3.2,1.2,2.0,2021-07-20,2021-07-14,2021-07-20,287
17031,IL,Illinois,Cook County,0,0,12048.86,4.15,0.0,0.0,0.0,2020-07-09,2020-07-03,2020-07-09,287
17031,IL,Illinois,Cook County,0,0,12073.71,9.97,10.2,3.5,3.6,2022-06-21,2022-06-15,2022-06-21,287
17031,IL,Illinois,Cook County,0,0,12231.29,2.34,3.4,1.3,2.2,2021-07-22,2021-07-16,2021-07-22,287
17031,IL,Illinois,Cook County,0,0,12240.71,1.2,2.7,1.0,1.4,2021-07-13,2021-07-07,2021-07-13,287
17031,IL,Illinois,Cook County,0,0,12252.29,4.12,0.0,0.0,0.0,2020-07-05,2020-06-29,2020-07-05,287
17031,IL,Illinois,Cook County,0,0,12298.43,1.13,2.6,1.0,1.4,2021-07-12,2021-07-06,2021-07-12,287
17031,IL,Illinois,Cook County,0,0,12341.57,4.25,0.0,0.0,0.0,2020-07-10,2020-07-04,2020-07-10,287
17031,IL,Illinois,Cook County,0,0,12363.43,4.1,0.0,0.0,0.0,2020-07-07,2020-07-01,2020-07-07,287
17031,IL,Illinois,Cook County,0,0,12395.86,4.13,0.0,0.0,0.0,2020-07-04,2020-06-28,2020-07-04,287
17031,IL,Illinois,Cook County,0,0,12407.0,3.98,0.0,0.0,0.0,2020-07-06,2020-06-30,2020-07-06,287
17031,IL,Illinois,Cook County,0,0,12460.71,2.41,3.7,1.4,2.4,2021-07-23,2021-07-17,2021-07-23,287
17031,IL,Illinois,Cook County,0,0,12519.14,0.68,2.1,1.0,2.3,2021-07-04,2021-06-28,2021-07-04,287
17031,IL,Illinois,Cook County,0,0,12679.71,4.36,0.0,0.0,0.0,2020-07-11,2020-07-05,2020-07-11,287
17031,IL,Illinois,Cook County,0,0,12690.14,2.54,4.1,1.4,2.5,2021-07-24,2021-07-18,2021-07-24,287
